# AngSepBCG_min[m] 	AngSepBCG_min[n] 	Radius[i](kpc/h100) 	Radius[j](kpc/h100) 	covariance(h100*M_sun/pc^2)^2 	correlation 	bias(1+K[m,i])(1+K[n,j])
0.05 	0.2 	24.6779926762 	168.129206906 	0.322790402484 	0.000780898223056 	0.855737413956
0.05 	0.2 	24.6779926762 	246.779926762 	-0.202445098413 	-0.000672169400688 	0.855992677878
0.05 	0.2 	24.6779926762 	362.223395765 	-0.327667528724 	-0.0015178366144 	0.855843290897
0.05 	0.2 	24.6779926762 	531.67123502 	0.442216938584 	0.00267705273074 	0.855686454639
0.05 	0.2 	24.6779926762 	780.386649378 	-0.0442715037834 	-0.000348929761321 	0.855686159314
0.05 	0.2 	24.6779926762 	1145.45095242 	-0.0820610386592 	-0.000857475873305 	0.855519486256
0.05 	0.2 	24.6779926762 	1681.29206906 	0.0380855157459 	0.000520507516632 	0.855244452877
0.05 	0.2 	36.2223395765 	24.6779926762 	-0.901655922932 	-0.000500218313763 	0.858488675124
0.05 	0.2 	36.2223395765 	36.2223395765 	-1.13959545437 	-0.000945842625212 	0.853063142438
0.05 	0.2 	36.2223395765 	53.167123502 	-1.13430021846 	-0.00138732756696 	0.856603018494
0.05 	0.2 	36.2223395765 	78.0386649378 	-0.342012262663 	-0.000606847840559 	0.856399010498
0.05 	0.2 	36.2223395765 	114.545095242 	0.0863115464662 	0.000218263779952 	0.85567436219
0.05 	0.2 	36.2223395765 	168.129206906 	-0.709353918381 	-0.00250829257951 	0.855642358503
0.05 	0.2 	36.2223395765 	246.779926762 	0.92744346362 	0.0045009098749 	0.85589759407
0.05 	0.2 	36.2223395765 	362.223395765 	0.441353211218 	0.00298826638981 	0.855748223683
0.05 	0.2 	36.2223395765 	531.67123502 	0.12966077037 	0.00114728561866 	0.855591404847
0.05 	0.2 	36.2223395765 	780.386649378 	-0.0488109708596 	-0.000562305828761 	0.855591109555
0.05 	0.2 	36.2223395765 	1145.45095242 	-0.0436186951732 	-0.000666191319398 	0.855424455011
0.05 	0.2 	36.2223395765 	1681.29206906 	-0.0534056458659 	-0.00106683126819 	0.855149452183
0.05 	0.2 	53.167123502 	24.6779926762 	-2.10475001504 	-0.0017003731606 	0.857759536999
0.05 	0.2 	53.167123502 	36.2223395765 	0.390027854075 	0.000471399121942 	0.852338612368
0.05 	0.2 	53.167123502 	53.167123502 	-1.77513484821 	-0.00316160290634 	0.855875481909
0.05 	0.2 	53.167123502 	78.0386649378 	-1.31411632165 	-0.00339544667633 	0.855671647183
0.05 	0.2 	53.167123502 	114.545095242 	-0.905995891627 	-0.00333629138791 	0.854947614339
0.05 	0.2 	53.167123502 	168.129206906 	-1.16002720861 	-0.00597321805365 	0.854915637834
0.05 	0.2 	53.167123502 	246.779926762 	0.320723077543 	0.00226656435528 	0.855170656622
0.05 	0.2 	53.167123502 	362.223395765 	0.197951036078 	0.00195171217161 	0.8550214131
0.05 	0.2 	53.167123502 	531.67123502 	0.0449172692539 	0.000578763680187 	0.854864727454
0.05 	0.2 	53.167123502 	780.386649378 	0.063765686003 	0.00106971268949 	0.854864432413
0.05 	0.2 	53.167123502 	1145.45095242 	0.0218246049826 	0.000485397643427 	0.854697919413
0.05 	0.2 	53.167123502 	1681.29206906 	0.0503221857334 	0.00146383805372 	0.854423150152
0.05 	0.2 	78.0386649378 	24.6779926762 	0.147809137181 	0.00017214745499 	0.858311935328
